MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2_Emissions
2018,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,AS9,X,13.8,9.4,11.8,24,277
2018,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.3,7.2,8.3,34,194
2018,BUICK,ENCORE (SIDI with Stop/Start),SUV - SMALL,1.4,4,AS6,X,8.6,7.1,7.9,36,185
2018,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,9.9,7.8,8.9,32,210
2018,BUICK,ENCORE AWD (SIDI with Stop/Start),SUV - SMALL,1.4,4,AS6,X,9,7.6,8.3,34,196
2018,BUICK,ENVISION AWD,SUV - SMALL,2,4,A6,Z,11.8,9.1,10.6,27,248
2018,BUICK,ENVISION AWD,SUV - SMALL,2.5,4,A6,X,11.1,8.6,10,28,234
2018,BUICK,LACROSSE,MID-SIZE,3.6,6,AS9,X,11.3,7.9,9.7,29,228
2018,BUICK,LACROSSE eASSIST,MID-SIZE,2.5,4,A6,X,9.3,6.7,8.1,35,190
2018,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS9,X,11.8,8,10.1,28,237
2018,BUICK,REGAL,FULL-SIZE,2,4,AS9,Z,10.7,7.4,9.2,31,217
2018,BUICK,REGAL AWD,FULL-SIZE,2,4,AS8,Z,11,8,9.6,29,227
2018,BUICK,REGAL AWD,FULL-SIZE,3.6,6,AS9,X,12.4,8.7,10.7,26,250
2018,CADILLAC,ATS,COMPACT,2,4,AS8,Z,10.5,7.7,9.2,31,216
2018,CADILLAC,ATS,COMPACT,2,4,M6,Z,12,8.2,10.3,27,240
2018,CADILLAC,ATS,COMPACT,3.6,6,AS8,X,11.6,8,10,28,234
2018,CADILLAC,ATS AWD,COMPACT,2,4,AS8,Z,10.8,7.9,9.5,30,222
2018,CADILLAC,ATS AWD,COMPACT,3.6,6,AS8,X,12.1,8.6,10.5,27,247
2018,CADILLAC,ATS-V,COMPACT,3.6,6,AS8,Z,13.9,9.4,11.9,24,291
2018,CADILLAC,ATS-V,COMPACT,3.6,6,M6,Z,14.4,10.4,12.6,22,295
2018,CADILLAC,CT6,FULL-SIZE,2,4,AS8,Z,11,7.8,9.5,30,224
2018,CADILLAC,CT6 AWD,FULL-SIZE,3,6,AS8,Z,13,9.1,11.2,25,263
2018,CADILLAC,CT6 AWD,FULL-SIZE,3.6,6,AS8,X,13,8.9,11.1,25,261
2018,CADILLAC,CTS,MID-SIZE,2,4,AS8,Z,11,7.8,9.5,30,224
2018,CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,11.6,8,10,28,234
2018,CADILLAC,CTS AWD,MID-SIZE,2,4,AS8,Z,11.2,8.2,9.8,29,229
2018,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS8,X,12.1,8.6,10.5,27,247
2018,CADILLAC,CTS Vsport,MID-SIZE,3.6,6,AS8,Z,15,9.9,12.7,22,311
2018,CADILLAC,CTS-V,MID-SIZE,6.2,8,AS8,Z,16.5,11.1,14,20,329
2018,CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A10,Z,16.6,10.9,14,20,329
2018,CADILLAC,XT5,SUV - SMALL,3.6,6,AS8,X,12.1,8.9,10.6,27,250
2018,CADILLAC,XT5 AWD,SUV - SMALL,3.6,6,AS8,X,12.8,9.3,11.2,25,263
2018,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.2,8.5,11.1,25,260
2018,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,13.7,9,11.6,24,272
2018,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,15,10.2,12.8,22,302
2018,CHEVROLET,CAMARO,SUBCOMPACT,2,4,AS8,Z,10.8,7.6,9.4,30,220
2018,CHEVROLET,CAMARO,SUBCOMPACT,2,4,M6,Z,11.9,7.9,10.1,28,235
2018,CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,AS8,X,12.3,8.2,10.4,27,246
2018,CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,M6,X,14.4,8.4,11.7,24,274
2018,CHEVROLET,CAMARO SS,SUBCOMPACT,6.2,8,AS8,Z,14.2,8.7,11.7,24,273
2018,CHEVROLET,CAMARO SS,SUBCOMPACT,6.2,8,M6,Z,14.3,9.4,12.1,23,284
2018,CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8,AS10,Z,18.8,11.3,15.4,18,361
2018,CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8,M6,Z,17.1,12,14.8,19,348
2018,CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2,4,AV,X,9.8,8.8,9.3,30,218
2018,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.1,9.2,10.8,26,253
2018,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,M6,X,11.9,9.2,10.7,26,251
2018,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.8,4,A6,D,10.8,8,9.6,29,257
2018,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,9.6,11.7,24,274
2018,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.6,9.8,11.3,25,266
2018,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,12.1,8.3,10.4,27,279
2018,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.6,6,A8,X,14.1,10,12.2,23,288
2018,CHEVROLET,COLORADO ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,12.5,10.7,11.7,24,315
2018,CHEVROLET,COLORADO ZR2 4WD,PICKUP TRUCK - SMALL,3.6,6,A8,X,15,13,14.1,20,331
2018,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Z,15.5,9.2,12.7,22,297
